Data from an experiment on the cold tolerance of the grass species Echinochloa crus-galli.
 Modified from `data(CO2)`.  See `?CO2`.
Type,Treatment,PlantNum,95,175,250,350,500,675,1000
Quebec,nonchilled,1,16,30.4,34.8,37.2,35.3,39.2,39.7
Quebec,,2,13.6,27.3,37.1,41.8,40.6,41.4 ,44.3
Quebec,,3,16.2,32.4,40.3,42.1,42.9,43.9,45.5
Québec,chilled,1,14.2,24.1,30.3,34.6,32.5 (umol/m^2 sec),"35,4",38.7
Québec,,2,9.3,27.3,35,38.8,38.6,"37,5",42.4
Québec,,3,15.1,21,38.1,34,+38.9,"39,6",41.4
Mississippi,nonchilled,1,10.6,19.2,26.2,30,30.9,32.4,35.5
Mississippi,,2,12,22,30.6,31.8,32.4,31.1,31.5
Mississippi,,3,11.3,19.4,25.8,27.9,28.5,28.1,27.8
Mississippi,chilled,1,10.5,14.9,18.1,18.9,19.5,22.2,21.9
Mississippi,,2,7.7,11.4,,13,12.5,13.7,14.4
Mississippi,,2,7.7,11.4,12.3,13,12.5,13.7,
Mississippi,,3,10.6,18,17.9,17.9,17.9,18.9,19.9
